subID,trial,sim_choice,sim_attack,k
12,111,7,1,1
12,23,5,0,1
12,92,8,1,1
12,41,7,0,1
12,43,6,1,1
12,69,9,1,1
12,36,7,1,1
12,11,6,1,1
12,68,6,0,1
12,98,7,1,1
12,82,7,1,1
12,85,6,0,1
12,118,6,0,1
12,119,6,1,1
12,84,8,1,1
12,39,6,0,1
12,77,7,1,1
12,7,5,0,1
12,25,7,0,1
12,95,8,0,1
12,108,7,1,1
12,71,5,0,1
12,66,8,0,1
12,76,6,0,1
12,103,8,0,1
12,93,8,0,1
12,34,8,1,1
12,50,6,0,1
12,59,7,1,1
12,2,6,0,1
12,27,7,1,1
12,18,7,0,1
12,10,7,1,1
12,26,6,0,1
12,42,8,0,1
12,87,7,1,1
12,116,9,0,1
12,100,6,0,1
12,79,6,0,1
12,16,1,0,1
12,81,7,0,1
12,20,3,0,1
12,19,4,0,1
12,49,5,0,1
12,44,8,1,1
12,9,3,0,1
12,31,6,0,1
12,74,8,0,1
12,106,6,0,1
12,109,6,0,1
12,61,6,1,1
12,94,7,0,1
12,29,6,0,1
12,107,6,0,1
12,46,6,0,1
12,57,6,0,1
12,102,6,0,1
12,70,6,1,1
12,21,6,0,1
12,38,6,0,1
12,88,6,1,1
12,120,6,0,1
12,101,7,1,1
12,78,7,0,1
12,105,6,0,1
12,72,8,0,1
12,24,6,0,1
12,8,6,1,1
12,17,4,0,1
12,37,8,1,1
12,1,6,0,1
12,53,7,1,1
12,83,8,1,1
12,47,7,0,1
12,22,5,0,1
12,99,8,1,1
12,89,6,0,1
12,14,6,0,1
12,3,7,1,1
12,80,6,0,1
12,96,7,0,1
12,51,7,1,1
12,33,7,0,1
12,40,7,0,1
12,48,6,0,1
12,113,6,0,1
12,65,7,0,1
12,15,6,1,1
12,97,6,0,1
15,5,4,0,1
15,56,1,0,1
15,35,2,0,1
15,55,2,0,1
15,114,5,0,1
15,110,2,0,1
15,60,1,0,1
15,30,3,0,1
15,32,5,0,1
15,6,5,1,1
15,67,4,0,1
15,45,1,0,1
15,117,6,0,1
15,73,5,0,1
15,115,7,0,1
15,112,2,0,1
15,64,3,0,1
15,90,4,0,1
15,4,4,0,1
15,13,4,0,1
15,54,3,0,1
15,63,1,0,1
15,86,4,0,1
15,104,1,0,1
15,91,3,0,1
15,62,2,0,1
15,58,1,0,1
15,52,1,0,1
15,12,3,0,1
15,28,7,0,1
15,75,4,0,1
15,23,3,0,1
15,111,2,0,1
15,92,5,0,1
15,41,3,0,1
15,43,1,0,1
15,11,3,0,1
15,69,3,0,1
15,36,5,1,1
15,98,4,1,1
15,68,1,0,1
15,82,5,0,1
15,85,3,0,1
15,118,3,1,1
15,119,4,0,1
15,39,3,0,1
15,84,6,0,1
15,77,7,1,1
15,7,2,0,1
15,25,3,0,1
15,95,4,0,1
15,108,3,0,1
15,71,3,0,1
15,66,6,0,1
15,76,3,0,1
15,103,5,1,1
15,34,3,0,1
15,59,3,0,1
15,50,1,0,1
15,93,3,0,1
15,2,1,0,1
15,27,3,0,1
15,10,4,1,1
15,26,1,0,1
15,18,4,0,1
15,42,2,0,1
15,87,5,0,1
15,116,2,0,1
15,100,1,0,1
15,79,2,0,1
15,16,3,0,1
15,81,5,0,1
15,20,4,0,1
15,19,3,1,1
15,49,1,0,1
15,44,1,0,1
15,9,4,0,1
15,31,6,0,1
15,74,4,0,1
15,106,1,0,1
15,109,2,0,1
15,61,1,0,1
15,29,3,0,1
15,94,6,1,1
15,107,4,0,1
15,46,3,0,1
15,57,1,0,1
15,102,6,0,1
15,70,1,0,1
15,21,4,0,1
15,38,1,0,1
15,88,1,0,1
15,120,5,0,1
15,101,5,0,1
15,78,4,0,1
15,105,4,1,1
15,72,5,0,1
15,24,7,0,1
15,8,2,0,1
15,17,2,0,1
15,37,1,0,1
15,1,4,1,1
15,53,1,0,1
15,22,4,0,1
15,47,1,0,1
15,83,3,0,1
15,99,2,0,1
15,89,1,0,1
15,14,3,0,1
15,3,2,0,1
15,80,6,1,1
15,96,5,0,1
15,51,2,0,1
15,33,8,1,1
15,40,3,0,1
15,48,3,1,1
15,113,5,0,1
15,15,3,0,1
15,65,1,0,1
15,97,3,0,1
8,5,3,0,1
8,56,6,0,1
8,35,8,1,1
8,55,8,1,1
8,114,8,1,1
8,110,6,0,1
8,60,8,0,1
8,30,5,1,1
8,32,6,0,1
8,6,5,0,1
8,67,7,1,1
8,45,5,1,1
8,117,6,1,1
8,73,8,0,1
8,115,8,0,1
8,112,6,0,1
8,64,7,0,1
8,90,8,1,1
8,4,7,1,1
8,13,6,1,1
8,54,8,0,1
8,63,6,1,1
8,86,6,1,1
8,104,6,0,1
8,91,8,1,1
8,62,8,1,1
8,58,6,0,1
8,52,8,1,1
8,12,4,0,1
8,28,6,0,1
8,75,6,0,1
8,23,8,0,1
8,111,6,0,1
8,92,8,0,1
8,41,7,0,1
8,43,6,0,1
8,11,8,1,1
8,69,7,0,1
8,36,8,0,1
8,98,8,1,1
8,68,6,0,1
8,82,8,0,1
8,85,8,1,1
