subID,trial,sim_choice,sim_attack,k
12,21,7,0,1
12,38,8,1,1
12,88,7,1,1
12,120,7,0,1
12,101,3,0,1
12,78,7,0,1
12,105,7,1,1
12,72,3,0,1
12,24,6,0,1
12,8,7,0,1
12,17,5,0,1
12,37,6,0,1
12,1,6,0,1
12,53,7,0,1
12,83,7,0,1
12,47,8,1,1
12,22,7,0,1
12,99,7,1,1
12,89,8,0,1
12,14,9,1,1
12,3,6,0,1
12,80,8,0,1
12,96,8,0,1
12,51,8,1,1
12,33,8,0,1
12,40,8,0,1
12,48,7,0,1
12,113,8,1,1
12,65,7,0,1
12,15,8,1,1
12,97,7,0,1
15,5,2,0,1
15,56,5,1,1
15,35,2,0,1
15,55,6,0,1
15,114,6,0,1
15,110,1,0,1
15,60,3,0,1
15,30,2,0,1
15,32,3,0,1
15,6,3,1,1
15,67,4,0,1
15,45,1,0,1
15,117,3,0,1
15,73,5,0,1
15,115,2,0,1
15,112,4,0,1
15,64,5,0,1
15,90,6,0,1
15,4,1,0,1
15,13,2,0,1
15,54,5,0,1
15,63,3,0,1
15,86,3,0,1
15,104,2,0,1
15,91,3,0,1
15,62,6,1,1
15,58,3,0,1
15,52,6,0,1
15,12,5,0,1
15,28,2,0,1
15,75,2,0,1
15,23,3,0,1
15,111,2,0,1
15,92,4,0,1
15,41,5,0,1
15,43,5,0,1
15,11,4,0,1
15,69,6,0,1
15,36,4,0,1
15,98,5,0,1
15,68,4,0,1
15,82,3,1,1
15,85,5,1,1
15,118,4,0,1
15,119,3,0,1
15,39,6,0,1
15,84,2,0,1
15,77,3,0,1
15,7,2,0,1
15,25,5,0,1
15,95,4,0,1
15,108,3,0,1
15,71,5,1,1
15,66,7,1,1
15,76,6,1,1
15,103,3,0,1
15,34,3,0,1
15,59,5,0,1
15,50,3,0,1
15,93,3,0,1
15,2,1,0,1
15,27,3,0,1
15,10,5,0,1
15,26,2,0,1
15,18,5,0,1
15,42,4,0,1
15,87,2,0,1
15,116,2,0,1
15,100,2,0,1
15,79,3,0,1
15,16,4,1,1
15,81,5,0,1
15,20,5,1,1
15,19,2,0,1
15,49,7,0,1
15,44,4,0,1
15,9,3,0,1
15,31,3,0,1
15,74,3,0,1
15,106,4,0,1
15,109,4,0,1
15,61,3,0,1
15,29,6,0,1
15,94,5,0,1
15,107,1,0,1
15,46,5,0,1
15,57,1,0,1
15,102,1,0,1
15,70,6,0,1
15,21,7,1,1
15,38,2,0,1
15,88,4,0,1
15,120,7,0,1
15,101,2,0,1
15,78,3,0,1
15,105,5,0,1
15,72,4,0,1
15,24,3,0,1
15,8,5,0,1
15,17,6,0,1
15,37,2,0,1
15,1,4,1,1
15,53,4,0,1
15,22,4,0,1
15,47,6,0,1
15,83,1,0,1
15,99,2,0,1
15,89,4,1,1
15,14,4,0,1
15,3,2,0,1
15,80,6,0,1
15,96,4,0,1
15,51,5,0,1
15,33,2,0,1
15,40,6,0,1
15,48,6,0,1
15,113,6,0,1
15,15,6,0,1
15,65,4,0,1
15,97,6,0,1
8,5,5,0,1
8,56,8,0,1
8,35,7,0,1
8,55,7,0,1
8,114,7,0,1
8,110,4,0,1
8,60,7,1,1
8,30,7,1,1
8,32,8,0,1
8,6,7,0,1
8,67,5,0,1
8,45,8,1,1
8,117,8,1,1
8,73,7,0,1
8,115,8,1,1
8,112,8,0,1
8,64,7,0,1
8,90,2,0,1
8,4,7,1,1
8,13,7,1,1
8,54,7,0,1
8,63,7,0,1
8,86,7,0,1
8,104,8,1,1
8,91,7,1,1
8,62,7,0,1
8,58,8,1,1
8,52,6,0,1
8,12,6,1,1
8,28,8,0,1
8,75,7,0,1
8,23,8,1,1
8,111,8,0,1
8,92,9,1,1
8,41,7,0,1
8,43,9,1,1
8,11,8,0,1
8,69,7,1,1
8,36,6,1,1
8,98,9,0,1
8,68,7,1,1
8,82,8,1,1
8,85,8,1,1
8,118,7,1,1
8,119,8,1,1
8,39,8,1,1
8,84,7,1,1
