attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,6,0.737200141,51,6,82
TRUE,2.5999999046325684,7,4,0.1624999940395355,0,-10,60,0.6359000205993652,0,60,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,61,1.252800226211548,16,61,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,62,0.7534000277519226,32,62,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,63,0.7028999924659729,48,63,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,64,0.7026997804641724,64,64,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,65,0.7697000503540039,54,65,82
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,66,0.8862000703811646,90,66,82
TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,67,0.8702001571655273,80,67,82
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,68,1.0198001861572266,116,68,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,69,1.802401423454285,125,69,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,7,1.4524006843566897,60,7,82
FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,70,0.5872000455856323,134,70,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,71,1.4184004068374634,143,71,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,72,1.3360005617141724,133,72,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,73,0.652999997,149,73,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,74,0.6187000274658203,158,74,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,75,0.6359999775886536,174,75,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,76,0.5698999762535095,190,76,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,77,0.6029000878334045,206,77,82
TRUE,2.5999999046325684,7,3,0.1040000021457672,0,-10,78,0.5374000072479248,196,78,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,79,2.0528013706207275,205,79,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,8,0.953000307,85,8,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,80,0.8537001013755798,221,80,82
TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,81,2.385699987411499,211,81,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,82,0.7204000949859619,227,82,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,83,0.8199001550674438,252,83,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,84,1.1029002666473389,277,84,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,85,0.920000136,302,85,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,86,0.8701000213623047,327,86,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,87,0.7528002262115479,343,87,82
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,88,1.1366004943847656,333,88,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,89,0.6870001554489136,349,89,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,9,1.4689009189605713,110,9,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,90,0.6032000780105591,365,90,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,91,0.5364000201225281,381,91,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,92,0.5870000123977661,397,92,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,93,0.652900219,413,93,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,94,0.6205000877380371,429,94,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,95,1.1362006664276123,445,95,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,96,0.6680999994277954,435,96,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,97,0.7683000564575195,460,97,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,98,0.8203001618385315,485,98,82
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,99,1.0864003896713257,521,99,82
FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,1,13.714361190795898,36,121,82
FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,10,1.2195005416870115,177,130,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,11,1.5370004177093506,202,131,82
TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,12,1.7925010919570925,192,132,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,13,1.692800998687744,208,133,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,14,1.1523005962371826,224,134,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,15,0.9360002279281616,240,135,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,16,0.9362001419067384,256,136,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,17,0.9194005131721495,272,137,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,18,1.0859004259109497,288,138,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,19,0.7033001184463501,304,139,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,2,1.7532013654708862,61,122,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,20,1.869301199913025,320,140,82
TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,21,1.136300563812256,310,141,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,22,1.6757010221481323,335,142,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,23,1.8594012260437007,351,143,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,24,1.4775006771087646,376,144,82
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,25,1.6928008794784546,366,145,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,26,1.7032010555267334,375,146,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,27,1.5357009172439575,391,147,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,28,2.752699136734009,407,148,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,29,0.7867002487182617,423,149,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,3,2.353000879,86,123,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,30,1.1527003049850464,439,150,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,4,1.119600534439087,102,124,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,5,0.8030000329017639,118,125,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,6,1.9166014194488523,134,126,82
FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,7,1.425200581550598,143,127,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,8,1.1192004680633545,152,128,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,9,2.459000587463379,168,129,82
TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,1,4.136298656463623,-10,1,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,10,3.018899440765381,173,10,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,100,2.7367992401123047,611,100,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,101,3.886099100112915,620,101,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,102,3.669500350952149,669,102,27
