,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,split_rt,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,subID
0,TRUE,0.5,-20,6,9,6,2.165799856185913,3.782999038696289,28,2,1,1,70,0,8,3,3
0,TRUE,0.5,-20,6,4,6,1.2887983322143557,0.9344998002052308,28,2,2,0,80,1,5,-2,2
0,TRUE,0.75,-20,4,6,5,3.199800491333008,3.907898426055908,28,2,2,1,70,1,5,2,3
0,TRUE,0.75,-20,6,9,9,1.4181976318359375,2.4565978050231934,29,2,1,0,80,0,8,3,2
0,TRUE,0,-20,9,6,5,2.791799306869507,2.649698257446289,29,2,1,1,70,0,8,-3,3
0,TRUE,0.5,-20,3,4,4,1.7891957759857178,1.242898703,29,2,2,0,80,1,4,1,2
0,TRUE,0.25,-20,4,3,3,1.199000358581543,0.9912002682685852,29,2,2,1,70,1,4,-1,3
0,TRUE,0.5,-20,9,4,4,1.768595576286316,1.347198247909546,30,2,1,0,80,0,7,-5,2
0,TRUE,0.75,-20,4,9,8,1.5748004913330078,5.133003234863281,30,2,1,1,70,0,7,5,3
0,FALSE,0.5,18,3,3,3,4.008306026,0.6966001391410828,30,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,2.391099452972412,1.5668998956680298,30,2,2,1,70,1,3,0,3
0,TRUE,0.25,-20,3,2,3,4.199996471405029,2.4504005908966064,1,3,1,0,70,1,3,-1,4
0,TRUE,0.5,-20,2,3,2,4.671099662780762,4.370299816131592,1,3,1,1,60,1,3,1,5
0,FALSE,0.5,98,9,4,6,2.033901691436768,1.1831005811691284,1,3,2,0,70,0,7,-5,4
0,FALSE,1,98,4,9,5,3.235499143600464,1.8504999876022337,1,3,2,1,60,0,7,5,5
0,FALSE,0.25,32,5,2,2,8,1.2997006177902222,2,3,1,0,70,1,4,-3,4
0,FALSE,0.75,32,2,5,3,3.0839998722076416,4.304100513458252,2,3,1,1,60,1,4,3,5
0,FALSE,0.5,32,2,6,9,0.9664000868797302,1.7835010290145874,2,3,2,0,70,0,4,4,4
0,FALSE,0.5,32,6,2,-1,1.2177001237869265,8,2,3,2,1,60,0,4,-4,5
0,TRUE,0.5,-20,5,2,3,3.899897575378418,1.599700927734375,3,3,1,0,70,1,4,-3,4
0,TRUE,0.75,-20,2,5,4,2.8690009117126465,3.301400184631348,3,3,1,1,60,1,4,3,5
0,TRUE,0.5,-20,8,7,8,1.700101017951965,1.4835004806518557,3,3,2,0,70,0,8,-1,4
