,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,100,3.5578999519348145,1538,100,38
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,101,19.03879165649414,1528,101,38
0,FALSE,4.800000190734863,7,7,0.768000066,1,49,102,23.082813262939453,1577,102,38
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,103,3.9573004245758057,1567,103,38
0,TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,104,3.401400327682495,1557,104,38
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,105,2.901899814605713,1593,105,38
0,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,106,2.0203990936279297,1602,106,38
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,107,4.600196361541748,1651,107,38
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,108,2.948699951171875,1700,108,38
0,TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,109,3.837699652,1690,109,38
0,TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,11,2.4923994541168213,108,11,38
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,110,2.7034003734588623,1680,110,38
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,111,1.481800198554993,1670,111,38
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,112,1.7251005172729492,1706,112,38
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,113,1.9753001928329468,1731,113,38
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,114,3.453499317169189,1721,114,38
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,115,2.604100465774536,1711,115,38
0,FALSE,4.800000190734863,7,2,0,1,4,116,0.930899978,1715,116,38
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,117,1.530199646949768,1740,117,38
